S/N,HCP CODE,NAME,ADDRESS,TYPE OF SERVICE,LGA,STATE
41,AB/0063,Model Pharmacy,"38 Jubilee Road, Aba",Pharmacy,Aba North,Abia
42,AB/0064,Elegance Pharmacy,"37 Jubilee Road, Aba",Pharmacy,Aba North,Abia
43,AB/0065,Cinta Pharmacy,"1 Okigwe Road, Aba",Pharmacy,Aba South,Abia
44,AB/0066,Chidi Pharmacy Co. (Nig.) Ltd.,"140 Ikot Ekpene Road, Aba",Pharmacy,Obingwa,Abia
45,AB/0067,Diamond Pharmacy Chemist Ltd.,"2 Umule Street Off Faulk Road, Aba",Pharmacy,Aba South,Abia
46,AB/0068,Alee Pharmaceuticals Ltd.,"37, Jubilee Road, Aba",Pharmacy,Aba North,Abia
47,AB/0069,Fatiwa Pharmacy Ltd.,"62, Aba Owo Road, Aba",Pharmacy,Aba North,Abia
48,AB/0070,Benkay Pharmacy Chemist Ltd.,"106, Hospital Road, Aba",Pharmacy,Aba North,Abia
49,AB/0071,Rufus Obi Chemist Ltd.,"Rochem House 140 Aba-Owerri Road, Aba",Pharmacy,Aba South,Abia
50,AB/0072,Eddy-T Pharmacy Ltd.,"106, Hospital Road, Aba, 208 Azikiwe Road, Aba",Pharmacy,Aba South,Abia
51,AB/0073,Em-Chemists Ltd.,"79 Aba -Owerri Road, Aba",Pharmacy,Aba South,Abia
52,AB/0074,Mainland Pharmacy Co. Ltd.,"39 Azikiwe Road, Aba",Pharmacy,Aba South,Abia
53,AB/0076,Far & Co Pharmacy Stores Nig. Ltd.,"38 jubilee Road, Aba",Pharmacy,Aba North,Abia
54,AB/0077,Unicare Pharmacy Ltd.,"44, Awolowo Street, Umuahia",Pharmacy,Umuahia North,Abia
55,AB/0078,C & J Pharmacy Ltd.,"No. 2 Item Street, Umuahia",Pharmacy,Umuahia North,Abia
56,AB/0079,Nneoma Pharmacy Co. Ltd.,"8 Warri Street/Owerri Road, Umuahia.",Pharmacy,Umuahia North,Abia
57,AB/0080,Barata Pharmacy & Co Ltd.,"1 Ikot Ekpene Road, Umuahia",Pharmacy,Obingwa,Abia
58,AB/0082,Curtis Laboratories,"39 Ekenna Avennue, Aba",Laboratory,Aba South,Abia
59,AB/0083,Ojec Clinical Laboratory,"64, cameroun Road, Aba",Laboratory,Aba North,Abia
60,AB/0084,Streamlight Biomedical Lab.,"49C Umuahia Road, Aba",Laboratory,Aba North,Abia
61,AB/0085,Steve Fort Medical Lab. Services,"30 Jubilee Road, Aba",Laboratory,Aba North,Abia
62,AB/0086,Excellence Medical Diag. Lab.,"1 Okigwe Road, Aba",Laboratory,Aba South,Abia
63,AB/0087,Taag Medical Laboratory,"2 Bende Road, Umuahia",Laboratory,Umuahia North,Abia
64,AB/0088,Gardenia Laboratory Nig. Ltd.,"2 Ohafia Street, Umauahia",Laboratory,Umuahia North,Abia
65,AB/0089,Hammersmith Medical Centre,"Plot 3, Amauzukwu Layout, Umuahia","Internal Medicine, Endocrinology",Umuahia North,Abia
66,AB/0090,DSS Clinic,"Umuahia, Abia State",,Aba North,Abia
67,AB/0092,Child Health Consultant Clinic,"73, Okigwe Road, Aba, Abia State",,Aba North,Abia
68,AB/0093,Cottage Hospital/Comprehensive Health Centre,"Abia State Police Command, Abia State",,Aba North,Abia
69,AB/0094,Sick bay NNLS Owerenta,"Abia, Abia State",,Aba North,Abia
70,AB/0095,The Nazareth Clinics,"57 Pound Road, Aba. Abia State",,Aba North,Abia
71,AB/0096,Sacred Heart Hospital,"9 Egwand Street by 18A Jaja Street, Off P/Harcourt Road, Aba",,Aba South,Abia
72,AB/0097,Isaac Okwuonu Memorial Hospital,"155 Ikot-Ekpene Road, Ogbor Hill, Aba.",,Aba South,Abia
73,AB/0098,Spring Clinic,"18 Scotland Crescent, Aba",,Aba South,Abia
74,AB/0099,Confidence Medical Diagnostic Centre,"4 Azikiwe Road/25 Ojike Street, Umuahia. Abia State",Laboratory,Umuahia South,Abia
75,AB/0100,St. Anthonys Hospital Ltd.,"62/80 Etshe Road, Aba, Abia State","Gen. surgery, Laboratory, Radiology, Orthopaedics, Ultrasound",Aba North,Abia
76,AB/0101,The Nasareth Clinics,"57 Pound Road, Aba",O&G,Aba North,Abia
77,AB/0102,New Convenant Med. Lab. & Blood Bank,"8 Okigwe Road, Aba, Abia State",Laboratory,Aba South,Abia
78,AB/0103,Adamor Nig. Ltd,"44 Okigwe Road, Aba, Abia State",Pharmacy,Aba South,Abia
79,AB/0104,"National Root Crops Research Institute Staff Clinic, Umudike","Umudike, Umuahia",,Umuahia South,Abia
80,AB/0107,Healing Cross Hospital,"Kilometre 2 Bende Road, Umuahia, Abia State",,Umuahia North,Abia
81,AB/0109,ALL Saints hospital,"25 Item street, umuahia",,Umuahia North,Abia
82,AB/0110,Aloma specialist hospital,"9(108) aba road, umuahia",,Umuahia North,Abia
83,AB/0111,Best care specialist hospital,"6, madukwe close off Ahuanya Av. Umungasi, Aba",,Osisioma,Abia
84,AB/0112,Divine grace missionary hospital,"49, Azikwe road, Aba",,Aba North,Abia
85,AB/0113,El-Shaddai hospital,"40 AHOADA STREET, UMUAHIA",,Umuahia North,Abia
86,AB/0114,EVANGEL HOSPITAL,"2, NWEKE /7 NWAORUAKU STR, UMUNGASI, ABA",,Osisioma,Abia
87,AB/0115,GLORY OF GOD HOSPITAL,"OWAZA TOWN, ABIA STATE",,Ukwa West,Abia
88,AB/0116,GROUP MEDICAL PRACTICE,"1,EMUCHAY CLOSE OFF AZUKA DRIVE, OGBO HILL ABA",,Aba North,Abia
89,AB/0117,Harvey Clinic,"14, HOWELL''''S CRESCENT, ABA",,Aba South,Abia
90,AB/0118,MARGARET HOSPITAL,"45 FINBARR''''S ROAD, UMUAHIA",,Umuahia North,Abia
91,AB/0119,ORIBIS HOSPITAL,"25, UMUOJIMA STREET/MCC ROAD, ABAYI, ABIA STATE",,Umuahia North,Abia
92,AB/0120,REGENTS CROSS SPEC. HOSPITAL,"106, IKOT EKPENE ROAD, ABA",,Aba North,Abia
93,AB/0121,RESTORATION CLINIC AND MATERNITY,"24, EYINNAYA STREET,ABIABA, ABAYI, ABIA STATE",,Osisioma,Abia
94,AB/0122,ST. MICHAEL'S HOSPITAL,"PLOT 25, ONYEMAOBI LAYOUT, UMUAHIA",,Osisioma,Abia
95,AB/0123,SUNSHINE HOSPITAL,"KM1 IKOT EKPENE ROAD, UMUAHIA",,Umuahia North,Abia
96,AB/0126,BESTCARE SPEC. HOSPITAL & MATERNITY,6 MADUKWE CLOSE OFF AHUNANYA AVE; UMUNGASI ABA,O & G,Osisioma,Abia
97,AB/0127,DANIPHARM,"BY 54 FAULKS RD, ABA",Pharmacy,Aba North,Abia
98,AB/0128,DENNIS BLESSING HOSPITAL,"15 OHAFIA STR, UMUAHIA",O & G,Umuahia North,Abia
99,AB/0129,ENKAL PHARMACY,AHABA JUNCTION,Pharmacy,Isuikwuato,Abia
100,AB/0130,EVANGEL HOSPITAL,"2 NWEKE /7 NWAORURUAKU STR, UMUNGASI",O & G,Osisioma,Abia
101,AB/0131,GROUP INT. MEDICAL PRACTICE,1 EMUCHAY CLOSE OFF AZUKA DRIVE OGBO HILL ABA,Internal medicine,Aba North,Abia
102,AB/0133,MARIST PHARMACY,"4 JUBILEE RD, ABA",PHARMACY,Aba South,Abia
103,AB/0135,MORE HEALTH PHARMACY,"37 JUBILEE RD, ABA",Pharmacy,Aba South,Abia
104,AB/0136,Niger Optical Services Ltd,"12 BENDE RD,UMUAHIA",Opthalmology,Umuahia North,Abia
105,AB/0137,NOCCKINS PHARMACY & STORES,15 OBOWO/UZUAKOLI UMUAHIA,Pharmacy,Umuahia North,Abia
106,AB/0138,ORIBIS HOSPITAL,"25 UMUOJIMA ST/MCC RD, ABAYI","O & G,SURGERY",Osisioma,Abia
107,AB/0139,ST. ANTHONY's HOSPITAL,"62-80 ETCHE RD, ABA","O & G, Dental, OPTHALMOLOGY",Aba South,Abia
108,AB/0140,ST. MICHAEL'S HOSPITAL,PLOT 25 ONYEMAOBI L/OUT UMUAHIA,O & G,Umuahia North,Abia
109,AB/0141,SUNSHINE HOSPITAL,"KM 1 IKOT EKPENE RD, UMUAHIA",O & G,Umuahia North,Abia
110,AB/0143,TRUVISION LTD (EYE CARE CENTRE),2 AZIKIWE STR. UMUAHIA,Opthalmology,Umuahia North,Abia
111,AB/0144,Dan-Eunice Cinics,"1 Club Road, Umuahia",,Umuahia North,Abia
112,AB/0145,Michael Okpara University of Agriculture Medical Centre,"Umudike,",,Umuahia South,Abia
113,AB/0147,Obioma Hospital & Maternity,"21, School Road, Umuahia",Laboratory,Aba North,Abia
114,AB/0149,J Medi - Care Hospital,73 Bonny Street Umuahia,,Umuahia North,Abia
115,AB/0150,Chukwuebuka Hospital,"50 School Road, Umuahia",,Umuahia North,Abia
116,AB/0151,Spring Clinic,"18 Scotland Crescent, Aba","Laboratory, Optometry",Aba South,Abia
117,AB/0152,The Nazareth Clinics,"57 Pound Road, Aba. Abia State","O&G, Paediatrics",Aba South,Abia
118,AB/0153,Ngozi Hospital,"2 Isuochi Close, Umuahia",General Surgery,Umuahia North,Abia
119,AB/0155,Wimpole Clinic,"18 St Michael Road, Aba",,Aba South,Abia
120,AB/0166,Care Foundation Hospital,4 Ehiemere Crescent Off Brass Aba,,Aba North,Abia
121,AB/0167,Ijeoma Clinic,"Umuogo, Ubakala, Umuahia",,Umuahia South,Abia
122,AB/0170,MC Hospital,"59, Omuma Road, Aba",,Aba South,Abia
123,AD/0001,Cottage Hospita,Fufore,"Gen. Med. Practice, Gen. Surgery, Laboratory",Fufore,Adamawa
124,AD/0002,"General Hospital, Ganye","Ganye, Adamawa State",,Ganye,Adamawa
125,AD/0003,General Hospital,Ganye,"O &G, Int. Medicine, Gen. Surgery, Paediatrics, Radiology, Ophthalmology, Dentistry, Laboratory, Pharmacy",Ganye,Adamawa
126,AD/0004,Cottage Hospital,Guyuk,"Gen. Med. Practice, Gen. Surgery, Laboratory",Guyuk,Adamawa
127,AD/0005,Cottage Hospital,Hong,"Gen. Med. Practice, Gen. Surgery, Laboratory",Hong,Adamawa
128,AD/0006,"Cottage Hospital, Mayo-Belwa",Mayo-Belwa,,Mayo - Belwa,Adamawa
129,AD/0007,Cottage Hospital,Mayo-Belwa,"Gen. Med. Practice, Gen. Surgery, Laboratory",Mayo - Belwa,Adamawa
130,AD/0009,General Hospital,Michika,"Gem. Med. Practice, Gen. Surgery, Opthalmology, Dentistry, Radiology, Laboratory",Michika,Adamawa
131,AD/0011,Beekay Clinic & Maternity,"Maiha Road, Mubi",,Mubi South,Adamawa
132,AD/0012,General Hospital,Mubi,"Gen. Med. Practice, Gen. Surgery, Dentistry, Oph'thalmology, Radiology,Pharmacy, Laboratory,",Mubi South,Adamawa
133,AD/0013,"General Hospital, Numan",Numan,,Numan,Adamawa
134,AD/0014,General Hospital,Numan,"Gen. Med. Practice, Gen. Surgery, Dentistry, Radiology, Pharmacy",Numan,Adamawa
135,AD/0015,"Cottage Hospital, Song",Song,,Song,Adamawa
136,AD/0016,Cottage Hospital,Song,"Gen. Med. Practice, Gen. Surgery, Laboratory",Song,Adamawa
137,AD/0017,"Specialist Hospital, Yola",Yola,,Yola North,Adamawa
138,AD/0018,Barka Clinic & Maternity,Uba Town,,Yola North,Adamawa
139,AD/0019,Triumph Medical Clinic,"Mubi Road, Jimeta",,Yola North,Adamawa
140,AD/0020,Matco Clinic,"Army Barracks Road, Malamre, Yola",,Yola North,Adamawa
141,AD/0021,Galbose Clinic,"Mubi Road, Yola",,Yola North,Adamawa
142,AD/0022,Mahmud Clinic,"Jimeta, Yola",,Yola North,Adamawa
143,AD/0023,Dawau Clinic Ltd.,Jimeta Yola,,Yola North,Adamawa
144,AD/0024,Peace Hospital,"No. 2 Luggere Street, Beside St. Theresa''''s Cathedral, Yola, Adamawa State",,Yola North,Adamawa
145,AD/0025,Adamawa Hospital,"Abuja Road, Yola Town",,Yola North,Adamawa
146,AD/0026,Springfield Hospital,"Damilu Airport Road, Jimeta, Yola",,Yola North,Adamawa
147,AD/0027,Sauki Medical Clinic,"Bauchi Street, Off Mustapha Moh''D Way, Jimeta, Yola",,Yola North,Adamawa
148,AD/0028,The Freedom Polyclinic,"9b Hospital Road, Jimeta",,Yola North,Adamawa
149,AD/0029,Galbose Clinic & Maternity,"22 Atiki Abubakar Way, Jimeta, Yola",,Yola North,Adamawa
150,AD/0030,Jimeta Clinics & Maternity,"Bishop Street, Jimeta, Yola",,Yola North,Adamawa
151,AD/0031,Arhyel Medical Centre,Yola Bye-Pass,"Gen. Med., Gen. Surgery",Yola North,Adamawa
152,AD/0032,Specialist Hospital,Yola,"Int. med., Gen. Surgery, Dentistry, Ophthalmology, O & G, Lab., Pharmacy, Orthopaedic, Psychiatry, Paediatrics, Physiotherapy, Radiology",Yola North,Adamawa
153,AD/0033,Federal Medical Centre,Yola,"O & G, Paediatrics, Internal Med., Surgery, Radiology, Physiotheraphy, Pharmacy, Laboratory, Dentistry, Ophthalmology, Psychiatry.",Yola North,Adamawa
154,AD/0034,Triumph Medical Clinic,"Mubi Road, Jimeta","Gen. Med. Practice, Gen. Surgery, O & G, Radiology, Laboratory",Yola North,Adamawa
155,AD/0035,Matco Clinic,"Army Barracks Road, Yola","Gen. Med. Practice, Gen. Surgery, Radiology, Laboratory",Yola North,Adamawa
156,AD/0037,Mahmud Clinic,Jimeta,"Gen. Med. Practice, Gen. Surgery, Radiology, Laboratory",Yola North,Adamawa
157,AD/0038,Dawa'u Clinic Ltd,"Yola, Adamawa State.","Gen. Med. Practice, Gen. Surgery, Laboratory",Yola North,Adamawa
158,AD/0039,Peace Clinic Ltd,"Mustapha Mohammed State, Jimeta","Gen. Med. Practice, Gen. Surgery, Laboratory",Yola North,Adamawa
159,AD/0040,Adamawa Hospital,"Abuja Road, Yola","Gen. Med. Practice, Gen. Surgery, Laboratory",Yola South,Adamawa
160,AD/0041,Springfield Hospital,"Airport Road, Jimeta","Gen. Med. Practice, Gen. Surgery, Laboratory",Yola North,Adamawa
161,AD/0042,Sauki Medical Clinic,"Bauchi Street, Off Mustapha Moh'd Way","Gen. Med. Practice, Gen. Surgery, Radiology,Laboratory",Yola North,Adamawa
162,AD/0043,The Freedom Polyclinic,"9B Hospital Road, Jimeta","Internal Medicine, Laboratory",Yola North,Adamawa
163,AD/0044,Galbose Clinic & Maternity,"22 Atiku Abubakar Way, Jimeta, Yola","General med. practice, Gen. surgery, Internal Med., O & G, Paediatrics, Radiology, Pharmacy, Laboratory",Yola North,Adamawa
164,AD/0045,Jimeta Clinic & Maternity,"Bishop street, Jimeta","Gen. Med. Practice, Gen. Surgery, Radiology",Yola North,Adamawa
165,AD/0046,Arhyel-Royal Hospital,"Numan Road, Jimeta","Gen. Med. Practice, Laboratory",Yola North,Adamawa
166,AD/0048,Federal Medical Centre,Yola,,Yola South,Adamawa
167,AD/0049,Arhyel Medical Centre,Yola Bye-Pass,,Yola South,Adamawa
168,AD/0050,Noma Clinic & Maternity,Gombi Town,,Gombi,Adamawa
169,AD/0051,Arhyel-Royal Hospital,"Numan Road, Jimeta",,Yola South,Adamawa
170,AD/0052,"General Hospital, Mubi",Mubi,,Mubi South,Adamawa
171,AD/0053,Newlife Hospital,"Sabon Layi, Mubi","Surgery, O&G, Laboratory, Radiology and Pharmacy",Mubi North,Adamawa
172,AD/0054,"General Hospital, Garkida",Garkida,,Gombi,Adamawa
173,AD/0055,"Cottage Hospital, Hong",Hong,,Hong,Adamawa
174,AD/0056,"Cottage Hospital, Guyuk",Guyuk,,Guyuk,Adamawa
175,AD/0057,"Cottage Hospital, Borrong Demsa",Borrong Demsa,,Demsa,Adamawa
176,AD/0058,General Hospital,Garkida,"Gen. Med. Practice, Gen. Surgery, Opthalmology, Dentistry, Radiology, Laboratory, Pharmacy.",Gombi,Adamawa
177,AD/0059,Amana-Peji Pharmacy Ltd.,"Hospital Road, Opp. FMC, Jimeta",Pharmacy,Yola North,Adamawa
178,AD/0060,Lekki Pharmacy Ltd,"Hospital Road, Opp. FMC, Jimeta",Pharmacy,Yola North,Adamawa
179,AD/0061,Diwarki Pharmacy Ltd.,Jimeta,Pharmacy,Yola North,Adamawa
180,AD/0062,Strong-Gate Pharmacy,Yola Town,Pharmacy,Yola South,Adamawa
181,AD/0063,Hoina Pharmacy Ltd.,"Hospital Road, Jimeta",Pharmacy,Yola North,Adamawa
182,AD/0064,Just-Medicor Pharmacy Ltd.,"85, Atiku Abubakar Way, Jimeta-Yola.",Pharmacy,Yola North,Adamawa
183,AD/0065,Madolla Pharmacy Ltd.,"Hospital Road, Jimeta",Pharmacy,Yola North,Adamawa
184,AD/0066,Tafary Nigerian Pharmaceuticals,74 Hospital Road,Pharmacy,Yola North,Adamawa
185,AD/0067,Patspring Pharmacy,"26 Mubi, Jimeta, Yola",Pharmacy,Yola North,Adamawa
186,AD/0068,Besina Pharmacy,"90 Bishop Street, Jimeta, Yola",Pharmacy,Yola North,Adamawa
187,AD/0069,Nafaz Pharmaceuticals Chemist,"Gimba Road, Junction, Jimeta",Pharmacy,Yola North,Adamawa
188,AD/0070,Yola Biomedical Laboratory,"Hospital Road, Jimeta",Laboratory,Yola North,Adamawa
189,AD/0071,Grant and Grant Medical Laboratory,"Hospital Road, Jimeta",Laboratory,Yola North,Adamawa
190,AD/0072,New Era Medical Laboratory,"Hospital Road, Jimeta",Laboratory,Yola North,Adamawa
191,AD/0074,Arhyel-Royal Hospital,"Numan Road, Jimeta",,Yola North,Adamawa
192,AD/0076,75 STG Medical Centre,"NAF Station, Yola",,Yola North,Adamawa
193,AD/0077,"General Hospital, Michika","Michika, Adamawa State",,Michika,Adamawa
194,AD/0078,"Cottage Hospital, Fufore","Fufore, Adamawa State",,Fufore,Adamawa
195,AD/0081,23 Bde MC Yola,"Yola, Adamawa State",,Yola North,Adamawa
196,AD/0082,"232 TK Bn MRS, Yola","Yola, Adamawa State",,Yola South,Adamawa
197,AD/0083,"Federal College of Education, College Clinic","Jimeta, Yola Road, Adamawa State",,Yola North,Adamawa
198,AD/0084,"Federal Polytechnic Clinic, Mubi","Barama Ward, Mubi",,Mubi North,Adamawa
199,AD/0085,MercyLand Clinics & Maternity,"Mubi Bye-pass Jimeta, Yola",,Yola North,Adamawa
200,AD/0086,Beta Medical Lab,"95, Mohd Mustapha Way Jimeta Yola",Laboratory,Yola North,Adamawa
201,AD/0087,Prince Medical Lab,"Mambila Street, Jimeta Yola",Laboratory,Yola North,Adamawa
202,AD/0088,Omega Diagnostic Lab,No. 10 Hospital Road Maiduguri,Laboratory,Yola North,Adamawa
203,AD/0089,Optimum Laboratories,Mohd Mustapha Way Jimeta-Yola,Laboratory,Yola North,Adamawa
204,AD/0090,Sogiji Pharmacy,"7, Mohd Mustapha Way Jimeta-Yola",Pharmacy,Yola North,Adamawa
205,AD/0091,Diamond Pharmacy,No. 8 Wukari Street Jimeta-Yola,Pharmacy,Yola North,Adamawa
206,AD/0093,Ovis Pharmacy,Mohd Mustapha Way Jimeta-Yola,Pharmacy,Yola North,Adamawa
207,AD/0094,Federal College of Education Clinic Yola,Jimeta-Yola Road,Laboratory,Yola North,Adamawa
208,AD/0095,Federal Polytechnic Clinic Mubi,Barama Ward Mubi,Laboratory and Pharamacy,Mubi North,Adamawa
209,AD/0096,DSS Clinic,"Yola, Adamawa State",,Yola North,Adamawa
210,AD/0097,"Police Clinics, Adamawa",Adamawa State,,Yola North,Adamawa
211,AD/0098,"Federal University of Tech. Medical Centre, Yola","Yola, Adamawa State",,Yola North,Adamawa
212,AD/0100,Newlife Hospital,Lokuwa Ward Mubi,"Surgery, O&g, Labratory,Radiology and Pharmacy",Mubi North,Adamawa
213,AD/0101,"COTTAGE HOSPITAL, GULEK",GULEK,,Madagali,Adamawa
214,AD/0102,DEMBELE NURSING & MAT. HOME,"GAYA, MUBI",,Mubi South,Adamawa
215,AD/0104,OPTIMUM CLINIC,"100 MOH''''''''D MUSTAPHA WAY, JIMETA",,Yola North,Adamawa
216,AD/0105,UBIS CLINIC,"10 MAIHA RD, MUBI",,Mubi South,Adamawa
217,AD/0106,ADAMAWA HOSPITAL,"2 LAMIDO SANDA RD, YOLA",USS,Yola South,Adamawa
218,AD/0107,General Hospital MICHIKA,"JANG WARD, MICHIKA TOWN","Pharmacy, O &G, Paediatrics",Michika,Adamawa
219,AD/0108,JIMETA CLINIC & MAT.,"43 BISHOP ST, JIMETA","LABORATORY, O & G",Yola North,Adamawa
220,AD/0109,JIMMEX PHARMACY,66 MOH''D MUSTAPHA WAY JIMETA,Pharmacy,Yola North,Adamawa
221,AD/0110,MATCO CLINIC,"3 MUSTAPHA ISMAIL AVE., JIMETA",Pharmacy,Yola North,Adamawa
222,AD/0111,NEWLIFE HOSPITAL,LOKUWA WARD,"Surgery, O&G, Radiology, Internal medicine, Laboratory, Pharmacy",Mubi North,Adamawa
223,AD/0112,NIIMA PHARMACEUTICALS NIG LTD,79 ABUJA RD YOLA,Pharmacy,Yola South,Adamawa
224,AD/0113,PEACE HOSPITAL( PEACE CLINIC LTD),"2 LUGGERE STR,JIMETA","Orthopaedics,pharm, paed,optometry,radiology,O &G",Yola North,Adamawa
225,AD/0114,PRINZLY DENTAL,"13 ATIKU ABUBAKAR WAY, JIMETA",DENTAL,Yola North,Adamawa
226,AD/0115,SAUKI MEDICAL CLINIC,"1 ZARANDA STR, JIMETA","O&G, paediatrics,Pharmacy",Yola North,Adamawa
227,AD/0116,Trust Medical Centre,"Anguwan Faransa, Gombi",,Gombi,Adamawa
228,AD/0117,Trust Medical Centre,"Anguwan Faransa, Gombi","Internal Medicine, O&G, Paediatrics, Radiology, Laboratory, Surgery",Gombi,Adamawa
229,AD/0118,The New Boshang Clinic and maternity Ltd,"Karewa GRA, Jimeta-Yola",,Yola North,Adamawa
230,AD/0119,Boshang Clinic Ltd,"Karewa GRA, Jimeta-Yola","O&G, General Surgery, Paediatrics, Radiology",Yola North,Adamawa
231,AD/0120,Adamawa State University Health Centre,"Adamawa State University, Mubi",,Mubi North,Adamawa
232,AD/0121,Valli Medical Clinic,"22 Mallamre, Opp FCE First Gate, Along Aliyu Way, Jimeta",,Yola North,Adamawa
233,AD/0123,Life Line Clinic,"Behind Bright Future International School, Numan",,Numan,Adamawa
234,AD/0124,Kowa Clinic,"Near New Market, Mayo Belwa",,Mayo - Belwa,Adamawa
235,AD/0125,Da'ama Specialist Hospital,"# 70/72 Atiku Abubakar Road, Yola",,Yola North,Adamawa
236,AD/0130,Graceland Clinic & Maternity,"2 City Hotel Road, Numan",,Numan,Adamawa
237,AK/0001,Samaritan Clinic,"No. 7 Ekong Uko Street, Eket",,Eket,Akwa Ibom
238,AK/0002,Immanuel General Hospital,"Eket, Akwa Ibom",-,Eket,Akwa Ibom
239,AK/0003,General Hospital,"Eket, Akwa Ibom","Surgery,Paediatrics,O&G,Pharmacy",Eket,Akwa Ibom
240,AK/0004,Samaritan Hospital/Clinic,Eket,"Radiology,Laboratory,Pharmacy",Eket,Akwa Ibom
241,AK/0005,De Zaki Pharmacy,"1, Afaha Eket Junction, Eket",Pharmacy,Eket,Akwa Ibom
242,AK/0006,Histripes Pharmacy Ltd.,"75,Atabong Road, Eket",Pharmacy,Eket,Akwa Ibom
243,AK/0007,"General Hospital, Ikot Ekpene","Ikot Ekpene, Akwa Ibom",,Ikot Ekpene,Akwa Ibom
244,AK/0009,Dominion Specialist Hospital,"4, Ibong Road, Ikot Epene",ENT,Ikot Ekpene,Akwa Ibom
245,AK/0010,"General Hospital, Iquita-Oron",Iquita-Oron,,Oron,Akwa Ibom
246,AK/0011,State Staff Clinic,"Secretariat Complex, Abak Rd., Uyo",,Uyo,Akwa Ibom
